license_plate,status,platform,created_at,shipped_at,sold_price,country,channel_ref,platform_fee
BW221109146995,shipped,Kaufland,2021-11-21T19:39:00,2021-11-22T10:26:02,144.13,GERMANY,EXH7-6HC6-1H2V,12.36
BW221109146967,shipped,Bol,2021-09-20T19:47:00,2021-09-21T14:15:56,42.33,NETHERLANDS,373J-6H2U-NCM0,4.07
BW221109146958,shipped,Bol,2022-01-25T15:46:44,2022-01-25T18:10:52,81.87,BELGIUM,NJG0-1DGL-74C4,8.94
BW221109146866,shipped,Bol,2021-08-18T10:04:43,2021-08-18T17:55:43,488.3,NETHERLANDS,08QW-WDHP-R3E6,38.45
BW221109146820,shipped,Bol,2022-04-16T18:25:44,2022-04-18T11:34:19,72.4,BELGIUM,5JDW-J2YB-2A28,14.14
BW221109146782,shipped,Bol,2021-10-19T14:04:47,2021-10-19T17:56:27,38.58,NETHERLANDS,F4AN-YJG2-87AH,3.8
BW221109146737,shipped,Ebay,2021-09-04T23:19:26,2021-09-05T14:20:52,249.29,GERMANY,77GJ-BD5P-3F2X,17.58
BW221109146722,shipped,Ebay,2022-05-07T20:05:19,2022-05-08T18:59:19,28.27,GERMANY,DHQT-X881-FPH3,2.51
BW221109146707,shipped,Bol,2022-01-24T18:25:43,2022-01-25T16:20:32,183.07,NETHERLANDS,J1BT-NLTR-TAWK,11.04
BW221109146694,shipped,Bol,2022-02-09T06:11:51,2022-02-09T15:27:32,42.05,NETHERLANDS,E39D-N8M9-T1MT,4.05
BW221109146688,shipped,Bva NL,2021-10-18T08:10:01,2021-10-18T12:06:08,29.25,NETHERLANDS,514e4e05-a1a7-4ed8-2819-08d98f007ca5,
BW221109146673,shipped,Bol,2021-12-11T22:18:42,2021-12-12T17:36:10,24.74,BELGIUM,UMM7-2YF9-408K,3.1
BW221109146610,shipped,Bol,2022-03-05T14:53:44,2022-03-07T12:07:05,133.21,NETHERLANDS,D240-YFMC-UYT1,12.28
BW221109146556,shipped,Bol,2021-12-11T22:18:42,2021-12-12T17:36:10,23.96,BELGIUM,463K-4UAX-95F4,2.74
BW221109146531,shipped,Bol,2022-04-01T17:18:49,2022-04-01T20:10:07,256.32,NETHERLANDS,TLX8-RLYV-D7J1,19.61
BW221109146528,shipped,Ebay,2021-07-15T09:26:18,2021-07-15T13:35:38,25.5,GERMANY,AFTP-BDG3-79JC,4.24
BW221109146485,shipped,Bol,2021-09-28T11:04:58,2021-09-29T09:11:00,16.4,NETHERLANDS,N2G6-W5MX-YDB3,3.46
BW221109146470,shipped,Bol,2022-04-01T14:04:54,2022-04-01T19:46:48,72.99,BELGIUM,YP7J-BXLL-RMRJ,7.42
BW221109146411,shipped,Bol,2021-11-22T19:18:51,2021-11-23T14:26:46,39.07,NETHERLANDS,0M9D-NWL4-MQHJ,8.09
BW221109146398,shipped,Bol,2022-04-17T21:39:46,2022-04-18T14:54:51,1288.14,BELGIUM,6XBU-JWC9-VBVF,59.58
BW221109146378,shipped,Bol,2022-03-29T17:11:43,2022-03-29T20:18:39,54.18,NETHERLANDS,6HK5-BE9F-YARN,10.83
BW221109146375,shipped,Bol,2022-05-02T15:32:43,2022-05-02T20:21:23,139.74,NETHERLANDS,UXTV-WNWL-DEQG,13.15
BW221109146362,shipped,Bol,2021-08-30T13:53:57,2021-08-30T14:30:52,332.07,,17QX-53F2-QRD0,27.11
BW221109146349,shipped,Bol,2021-08-30T11:18:50,2021-08-30T16:16:33,61.43,NETHERLANDS,7407-9WCF-RKTC,10.66
BW221109146158,shipped,Bva NL,2021-11-14T21:24:01,2021-11-15T09:41:10,67.86,NETHERLANDS,a5e17c52-2a5e-42e7-f05e-08d9a1725281,
BW221109146146,shipped,Bol,2021-07-06T15:26:49,2021-07-06T17:15:49,88.51,NETHERLANDS,CQ7W-JGKH-U9H8,9.03
BW221109146142,shipped,Bol,2022-10-06T20:46:45,2022-10-07T13:27:22,66.57,NETHERLANDS,DMEX-FN8W-VFNP,13.08
BW221109146116,shipped,Bva NL,2022-04-16T21:31:02,2022-04-18T14:55:27,23.4,NETHERLANDS,bc8c51f5-1952-4d21-5813-08da1eb92548,
BW221109146070,shipped,Bol,2022-05-01T17:46:52,2022-05-02T20:31:21,185.88,NETHERLANDS,FTWR-4WRM-WRF9,12.25
BW221109145901,shipped,Bol,2021-07-06T14:40:05,2021-07-06T17:15:35,32.19,NETHERLANDS,5BQ0-YLPG-6XVW,5.71
BW221109145843,shipped,Ebay,2022-04-16T13:19:31,2022-04-18T14:28:55,66.73,GERMANY,AGRA-KCY4-NEYH,9.29
BW221109145835,shipped,Bol,2022-08-06T22:46:46,2022-08-07T14:18:46,23.02,BELGIUM,7H39-MBJC-46BC,2.67
BW221109145765,shipped,Bol,2021-07-03T15:04:54,2021-07-06T08:05:33,82.88,NETHERLANDS,822N-MWA5-MAQ7,9.02
BW221109145742,shipped,Bol,2022-04-17T17:11:51,2022-04-18T20:33:35,196.69,NETHERLANDS,LC3K-DY52-CTEV,14.9
BW221109145735,shipped,Amazon,2022-06-22T14:01:15,2022-06-22T17:58:52,9.84,FRANCE,PX9Q-UHN2-82T0,2.29
BW221109145692,shipped,Amazon,2022-04-27T13:15:33,2022-04-28T14:13:16,231.33,FRANCE,D9CH-UFMR-KDMM,30.33
BW221109145663,shipped,Bol,2022-03-09T17:46:43,2022-03-09T19:16:50,120.54,NETHERLANDS,Y9TK-86DQ-03PB,9.75
BW221109145640,shipped,Bol,2021-07-01T13:33:51,2021-07-01T19:57:19,31.82,BELGIUM,NTP4-2P96-BXT3,3.31
BW221109145572,shipped,Bol,2021-07-01T13:33:19,2021-07-01T19:57:05,57.83,NETHERLANDS,B05G-2CCH-VR49,9.47
BW221109145547,shipped,Bol,2021-07-01T13:07:25,2021-07-01T18:32:08,29.75,NETHERLANDS,64M8-AF6B-W420,3.52
BW221109145540,shipped,Bol,2022-04-15T21:04:46,2022-04-18T20:34:39,142.61,NETHERLANDS,V09K-AWG8-DX4M,11.35
BW221109145499,shipped,Bol,2022-06-22T12:11:45,2022-06-22T17:59:12,38.87,NETHERLANDS,H3BD-Y5D0-64HL,3.82
BW221109145491,shipped,Bol,2021-09-01T16:39:56,2021-09-01T20:00:42,56.16,BELGIUM,JBE2-V2RK-3NV3,5.08
BW221109145367,shipped,Bol,2022-02-21T09:18:45,2022-02-21T19:02:22,525.98,NETHERLANDS,68JK-VDH3-6WDT,26.1
BW221109145272,shipped,Bol,2021-11-24T07:32:46,2021-11-24T12:41:29,59.37,NETHERLANDS,XELT-5X26-NW2R,5.31
BW221109145270,shipped,Bol,2021-09-01T16:04:49,2021-09-01T20:00:44,117.77,NETHERLANDS,YM59-MXN5-4JYC,9.55
BW221109145239,shipped,Amazon,2022-06-22T11:36:34,2022-06-22T17:59:18,33.99,FRANCE,8GGP-MUAW-YNT3,6.77
BW221109145214,shipped,Amazon,2022-08-05T20:15:06,2022-08-07T14:18:42,105.13,AUSTRIA,MH29-DCHR-2N8R,16.79
BW221109145211,shipped,Bol,2021-11-29T20:39:43,2021-11-30T16:31:06,93.69,NETHERLANDS,NYYE-5UGR-D9WK,18
BW221109145176,shipped,Amazon,2021-12-01T18:57:06,2021-12-02T17:26:24,68.28,GERMANY,HPV7-Y69F-TAXL,12.64
BW221109145158,shipped,Bol,2022-05-31T10:25:54,2022-05-31T13:39:54,73.11,NETHERLANDS,M3C1-0YTB-4VQ9,6.31
BW221109145142,shipped,Bol,2021-11-11T13:18:54,2021-11-11T18:40:45,62.74,NETHERLANDS,YUUM-K0C5-PM2H,10.87
BW221109145113,shipped,Bol,2021-12-01T18:53:53,2021-12-02T14:46:26,137.6,NETHERLANDS,60RW-J21C-9XLK,9.33
BW221109145062,shipped,Ebay,2021-10-27T15:48:48,2021-10-27T17:41:01,129.47,GERMANY,9D89-9P8M-4XWM,9.31
BW221109145027,shipped,Amazon,2022-05-31T10:22:08,2022-05-31T14:01:32,59.82,BELGIUM,KRC7-CE0T-92QJ,5.22
BW221109144979,shipped,Bol,2021-10-06T21:04:46,2021-10-07T12:55:39,77.89,NETHERLANDS,EEHD-XXR2-C7MF,5.71
BW221109144977,shipped,Bva NL,2021-08-20T08:59:12,2021-08-20T16:00:06,8.19,BELGIUM,f3345b2d-02e7-4f8c-d84c-08d95fe81a02,
BW221109144935,shipped,Bol,2022-05-26T19:18:44,2022-05-27T12:15:03,44.83,NETHERLANDS,GE16-D29D-WTVA,9.14
BW221109144864,shipped,Bol,2022-03-23T12:32:45,2022-03-23T18:45:29,446.64,NETHERLANDS,TEK7-UMRK-QDX6,30.02
BW221109144815,shipped,Bva NL,2021-08-20T08:38:18,2021-08-20T16:02:55,31.59,NETHERLANDS,e9d74dec-e115-4fe4-d841-08d95fe81a02,
BW221109144804,shipped,Bol,2021-08-20T06:46:46,2021-08-20T15:57:06,77,BELGIUM,FX1B-YUPR-T8R8,14.98
BW221109144799,shipped,Bol,2022-07-12T22:39:43,2022-07-13T15:28:13,69.42,NETHERLANDS,Q64H-2FCC-Y2DD,13.6
BW221109144784,shipped,Bol,2021-11-26T15:11:48,2021-11-26T21:26:23,51.6,NETHERLANDS,T8QN-AHCQ-N8PK,10.37
BW221109144672,shipped,Bol,2021-08-01T10:18:49,2021-08-01T16:42:11,82.76,NETHERLANDS,ND6K-RG0E-UEHA,9.01
BW221109144620,cancelled,Bol,2022-03-31T10:32:44,,81.19,,KUW0-DC3B-K11M,6.89
BW221109144612,shipped,Ebay,2021-08-20T05:19:56,2021-08-20T15:59:54,94.97,GERMANY,NPF1-0GT5-PFRK,11.68
BW221109144600,shipped,Ebay,2021-08-19T18:19:32,2021-08-20T15:58:32,42.38,FRANCE,C4Q7-BXGG-F6JN,2.51
BW221109144519,shipped,Bol,2021-07-19T14:32:47,2021-07-19T19:57:43,93.44,NETHERLANDS,N0M4-M0KM-XN1L,17.96
BW221109144444,shipped,Bol,2021-07-28T11:53:49,2021-07-28T18:07:08,114.05,NETHERLANDS,5D7M-74Q8-T32E,10.66
BW221109144402,shipped,Amazon,2021-07-18T23:43:05,2021-07-19T19:20:34,70.73,GERMANY,2M5J-HARD-VYUN,13.08
BW221109144399,shipped,Bol,2022-07-20T09:25:55,2022-07-20T17:55:28,60.97,NETHERLANDS,V7WH-DVJL-P8DW,7.43
BW221109144349,shipped,Ebay,2021-07-18T19:33:15,2021-07-19T19:25:44,58.61,GERMANY,WWH9-UTHD-B4FR,7.4
BW221109144219,shipped,Amazon,2021-07-18T18:36:07,2021-07-19T19:20:29,77.4,AUSTRIA,7G5P-KJHB-DB30,14.38
BW221109144183,shipped,Bva NL,2021-10-06T07:10:04,2021-10-06T13:36:04,17.55,NETHERLANDS,c7d0c13b-3d36-4cad-85df-08d9843be3ff,
BW221109144115,shipped,Bol,2021-07-17T16:32:45,2021-07-19T19:56:08,28.18,BELGIUM,HRH3-3PM7-V2KM,6.12
BW221109144078,shipped,Bva NL,2021-11-26T11:38:01,2021-11-26T21:54:15,16.38,NETHERLANDS,fbba0c1d-2a0c-49f8-cff3-08d9a8b026ad,
BW221109144022,shipped,Bol,2022-06-14T17:18:44,2022-06-15T14:40:57,74.71,NETHERLANDS,PA9G-CU1T-H10B,5.38
BW221109144020,cancelled,Bol,2021-11-26T06:11:50,,218.5,,MB4M-FBVT-KMLH,16.86
BW221109143965,shipped,Bol,2021-09-30T11:25:44,2021-09-30T19:50:53,46.29,NETHERLANDS,AN39-9BGJ-JVK5,4.36
BW221109143943,shipped,Amazon,2022-07-05T01:15:07,2022-07-05T18:32:33,79.83,GERMANY,VM06-TA9N-60K8,6.86
BW221109143941,shipped,Bva NL,2022-08-24T08:52:01,2022-08-24T14:34:36,16.38,NETHERLANDS,be155d2b-2558-40a8-cc0d-08da85382025,
BW221109143929,shipped,Bva NL,2021-09-27T10:45:03,2021-09-27T14:26:46,60.84,BELGIUM,9e5ff6d6-24e0-4021-6111-08d97f20c51b,
BW221109143897,shipped,Bva NL,2021-10-07T06:52:13,2021-10-07T14:21:19,25.74,NETHERLANDS,b2e1e27b-60c9-44a1-409e-08d988aa08e7,
BW221109143841,shipped,Bol,2022-08-24T08:39:51,2022-08-24T14:34:42,28.51,NETHERLANDS,7T8X-CG9B-QT6C,3.07
BW221109143834,shipped,Bol,2021-07-17T21:54:00,2021-07-18T20:22:24,25.6,NETHERLANDS,62R5-GV66-1XE8,2.86
BW221109143818,shipped,Bva NL,2021-07-18T05:59:07,2021-07-18T20:14:14,40.95,NETHERLANDS,7ac918f0-35d1-498a-719c-08d945c7629f,
BW221109143777,shipped,Bva NL,2021-07-18T10:52:13,2021-07-18T20:15:09,12.87,NETHERLANDS,2b5d0e02-c7b3-45f5-f242-08d945c7972c,
BW221109143775,shipped,Amazon,2021-11-28T08:15:10,2021-11-28T21:12:34,60.83,FRANCE,WNAQ-446P-66GT,9.77
BW221109143761,shipped,Amazon,2022-06-01T08:29:39,2022-06-01T13:43:00,120.31,FRANCE,DA6X-EETX-L4V1,10.63
BW221109143755,shipped,Bva NL,2021-07-12T22:59:08,2021-07-13T19:56:52,23.4,NETHERLANDS,052b263b-1664-43cc-8f01-08d941ce07af,
BW221109143703,shipped,Amazon,2021-07-16T23:43:24,2021-07-19T20:00:27,213.92,BELGIUM,LY27-9P1E-GQTL,18.66
BW221109143639,shipped,Bol,2021-07-06T16:53:49,2021-07-06T20:06:22,22.24,BELGIUM,AAHC-D9EU-QQNM,4.26
BW221109143467,shipped,Bva NL,2021-07-06T15:59:20,2021-07-06T20:05:52,46.8,NETHERLANDS,a7ea7ea6-c213-4d6e-7b59-08d9403bef5e,
BW221109143466,shipped,Ebay,2022-08-02T20:44:41,2022-08-03T14:23:21,43.87,GERMANY,CFBH-AVNT-CMYC,6.86
BW221109143317,shipped,Bol,2022-06-17T14:53:45,2022-06-17T18:13:05,26.53,NETHERLANDS,UNV2-25NJ-3HX3,1.15
BW221109143267,shipped,Bol,2022-09-05T14:11:48,2022-09-05T18:04:08,130.6,NETHERLANDS,QGTC-CH6U-K886,14.38
BW221109143088,shipped,Bol,2021-10-24T09:46:47,2021-10-24T20:21:22,37.08,BELGIUM,MNT4-53VF-F4C9,3.24
BW221109143082,shipped,Bva NL,2021-09-26T22:24:02,2021-09-27T12:41:23,17.55,NETHERLANDS,6c08ade6-9fd6-4398-8fe4-08d97f604d7b,
BW221109142966,shipped,Bol,2022-04-26T13:39:45,2022-04-26T18:56:42,103.39,NETHERLANDS,LR4K-B63C-METP,19.77
BW221109142963,shipped,Bol,2022-04-06T16:25:42,2022-04-06T19:45:54,30.31,BELGIUM,3MLN-LXHB-JF6Q,4.55
BW221109142944,shipped,Bol,2021-09-01T20:26:01,2021-09-02T13:40:42,226.92,NETHERLANDS,CD54-33DN-32KH,16.73
BW221109142928,shipped,Bol,2022-01-15T09:39:48,2022-01-16T19:02:30,49.76,NETHERLANDS,2P0L-YKBG-GK3T,4.61
BW221109142926,shipped,Bva NL,2022-09-05T12:17:01,2022-09-05T18:03:49,60.84,BELGIUM,32ecafd4-d446-46c9-5506-08da8cdae45c,
BW221109142819,shipped,Bva NL,2021-06-27T20:32:33,2021-06-28T10:35:18,40.95,NETHERLANDS,8c00c73f-24d0-4718-9c3e-08d937ad431c,
BW221109142815,shipped,Bol,2021-07-13T11:53:36,2021-07-13T14:05:29,183.4,NETHERLANDS,KFA1-QMHD-M93W,14.1
BW221109142775,shipped,Bol,2021-07-12T19:40:04,2021-07-13T14:05:30,285.09,NETHERLANDS,QW9R-9DCM-9BJV,23.7
BW221109142761,shipped,Bol,2021-11-28T17:11:45,2021-11-29T15:11:31,111.93,NETHERLANDS,F74B-1RN6-7UNH,11.13
BW221109142754,shipped,Bva NL,2022-09-08T08:31:04,2022-09-08T13:51:45,58.5,NETHERLANDS,3a5da7f2-0db1-41ca-1e02-08da9167d6fe,
BW221109142698,shipped,Bol,2021-08-21T16:39:55,2021-08-22T19:41:18,30.11,NETHERLANDS,05N1-C1LG-B5MK,3.55
BW221109142658,shipped,Bol,2021-08-22T07:46:47,2021-08-22T19:10:51,23.76,BELGIUM,40B6-9LBW-GHG1,5.31
BW221109142545,shipped,Bol,2021-12-26T11:39:46,2021-12-27T12:01:36,75.5,NETHERLANDS,YXTF-2201-Y594,14.7
BW221109142495,shipped,Bol,2021-12-26T09:32:46,2021-12-27T12:01:40,100.51,NETHERLANDS,LTFJ-WWGG-FD4H,9.51
BW221109142441,shipped,Bol,2022-07-22T16:04:41,2022-07-22T19:22:14,26.09,BELGIUM,B3PW-Y1RW-E3RE,5.74
BW221109142261,shipped,Bol,2021-08-24T17:39:59,2021-08-25T10:58:43,64.53,BELGIUM,234G-1WFD-VFAB,5.68
BW221109142234,shipped,Bol,2021-08-22T12:12:02,2021-08-22T20:06:46,68.1,NETHERLANDS,1RGP-GM90-XC2H,10.89
BW221109142206,shipped,Bol,2021-08-21T16:32:44,2021-08-22T19:35:49,219.16,BELGIUM,MLW0-AB5U-JETR,16.91
BW221109142190,shipped,Bol,2021-08-21T10:05:00,2021-08-22T19:35:53,72.98,NETHERLANDS,MTMD-FY9F-26D5,14.25
BW221109142181,shipped,Amazon,2022-09-18T09:43:04,2022-09-19T17:57:38,22.01,GERMANY,YWDE-5NDL-QLWE,2.04
BW221109142153,shipped,Bol,2021-08-21T09:04:59,2021-08-22T20:05:35,56.25,NETHERLANDS,1QD1-9MHP-LW1F,11.21
BW221109142130,shipped,Bol,2022-02-19T12:53:42,2022-02-20T20:31:11,59.13,BELGIUM,826T-T28Q-0E8K,11.73
BW221109142101,shipped,Bol,2021-07-14T09:25:51,2021-07-14T16:25:55,104.93,BELGIUM,BU74-6BRW-K6C3,16.24
BW221109142079,shipped,Bol,2021-07-13T22:18:45,2021-07-14T16:15:42,57.46,NETHERLANDS,5DXD-EBQ2-5M0U,9.41
BW221109142076,shipped,Amazon,2021-07-19T06:15:07,2021-07-19T11:05:36,141.35,GERMANY,DQ4F-5BH1-D0FL,25.68
BW221109142015,shipped,Amazon,2021-07-18T22:15:25,2021-07-19T11:05:45,73.63,GERMANY,K5TD-EK4A-4D7H,13.59
BW221109142011,shipped,Amazon,2022-05-01T11:05:41,2022-05-01T16:22:45,47.34,AUSTRIA,C80V-5V41-GY7A,
BW221109141986,shipped,Amazon,2022-09-12T16:22:04,2022-09-12T18:41:34,92.38,POLAND,L6TM-70UV-L2NK,8.03
BW221109141869,shipped,Bol,2021-08-20T20:46:48,2021-08-22T20:00:33,295.57,BELGIUM,KWCM-1HK6-V9AM,24.46
BW221109141673,shipped,Bol,2021-11-09T21:11:41,2021-11-10T13:47:00,52.74,NETHERLANDS,Y8W3-18QT-BKAT,10.57
